Job Title,Company,Location,Expiry Date,Description
Casual Driver,N/A,Harare,Expires 24 Aug 2025,Persons wanted for casual/driver and must be 18 years and above
Sales and Marketing Attachment,N/A,Mutare,Expires 24 Aug 2025,Persons wanted for Sales and marketing attachment position in Mutare and must be 18 years and above.
HOUSE MAID FOR A SENIOR MANAGER IN HARARE,Hammer and Tongues Africa Holdings,Harare,Expires 05 Sep 2025,"Cleaning, Washing and Preparing meals"
PRIMARY CARE NURSE X 1,Green Fuel,Chipinge,Expires 09 Aug 2025,"To support the SHE operations by attending to emergencies of employees, accompany patients to hospital, assisting the nursing staff and any other duties as assigned."
Reservation Manager (Manor House),Traverze Travel,Harare,Expires 20 Aug 2025,"As the Reservation Manager, you will oversee all bookings and reservations at The Manor House, ensuring a seamless guest experience from inquiry to arrival. Your role is central to optimizing occupancy, maintaining guest satisfaction, and supporting front-of-house efficiency."
DISPATCH TANK OPERATOR X 1,Green Fuel,Chipinge,Expires 08 Aug 2025,Dispatch Tank Operator takes ethanol storage tanks stock daily and loads the road tankers with ordered ethanol volumes according to the marketing requirements.
Group Project Management Administrator,N/A,Harare,Expires 31 Aug 2025,Group Project Management Administrator
Group Managing Director,N/A,Harare,Expires 31 Aug 2025,Group Managing Director
Group Legal Director,N/A,Harare,Expires 31 Aug 2025,Group Legal Director
Inter-Company Liaison Officer,N/A,Harare,Expires 15 Aug 2025,Inter-Company Liaison Officer
Pastry Chef/Baker,Cake Fairy ~~ 0,Bulawayo,Expires 08 Aug 2025,"We are seeking a skilled and creative Pastry Chef & Baker to lead the pastry section of our kitchen and contribute to the overall culinary excellence of our Cake Fairy Shop. The ideal candidate will have a strong foundation in baking and pastry arts, with a passion for crafting high-quality,"
Accounts Officer Debtors,Allied Timbers Zimbabwe (Pvt) Ltd,Harare,Expires 15 Aug 2025,"An exciting opportunity for the position of Accounts Officer - Debtors has arisen for a suitably qualified and experienced person at Allied Timbers Zimbabwe (Pvt) Ltd. Allied Timbers Zimbabwe (Pvt) Ltd is an extensive, local and international provider of high quality and durable timber-based solutions for both industrial, domestic and"
Chief Executive Officer (CEO): Solid Capital Investments,N/A,Harare,Expires 15 Aug 2025,Job Title: Chief Executive Officer (CEO) Location: Harare Company: Solid Capital Investments Zimbabwe (Pvt) Limited Application Deadline: 21 July 2025 About the Company Solid Capital Investments Zimbabwe (Pvt) Limited is a licensed and rapidly growing microfinance institution committed to providing inclusive financial services that empower individuals and small businesses. Our
SALES REPRESENTATIVE,N/A,Harare,Expires 26 Aug 2025,"We are seeking a young, energetic, and enthusiastic Sales Representative aged between 19 and 21 years, who is quick to learn and confident in speaking to clients. The ideal candidate should possess strictly O' and A' Level qualifications and be passionate about sales, customer service, and building long-term client relationships."
Student Attachee,NATIONAL EMPLOYMENT COUNCIL FOR THE CATERING INDUSTRY IN ZIMBABWE,Harare,Expires 15 Aug 2025,STUDENT ON ATTACHMENT
Sales Representative,N/A,Harare,Expires 04 Sep 2025,"On behalf of our client, we are recruiting for the position of Sales Representative. We are seeking a driven and results-oriented individual to join their team. The successful candidate will be responsible for identifying potential clients, making cold calls, following up on leads, conducting client meetings, preparing proposals, and delivering"
AGRONOMY GRADUATE TRAINEE,Green Fuel,Chipinge,Expires 13 Aug 2025,Applications are invited from suitably qualified individuals to fill the above vacancy that has arisen in the Agronomy Department. The successful applicants will undergo a 2-year intensive training under the supervision of the Agronomist whilst performing any other duties as assigned.
Sales And Trade Marketing Officer - Imported Lines,The Buffalo Brewing Company,Harare,Expires 14 Aug 2025,A growing player in the Alcoholic Beverage Industry is on the hunt for an aggressive salesperson with a proven track record of new brands to a market. Job Title: Sales And Trade Marketing Officer - Imported Lines Reports to: Imported Lines Manager Main Task The Sales and Trade Marketing Officer
Till Operators and Shop Assistants,Southsea Investments Pvt Ltd,Harare,Expires 30 Aug 2025,"Are you passionate about retail and looking for a rewarding career? We are a leading retail company committed to excellence, customer satisfaction, and employee growth. We are currently hiring for multiple positions across various departments. If you have the skills, experience, and enthusiasm to thrive in a fast-paced retail environment,"
Agronomy Attachees x 2,N/A,Harare,Expires 08 Aug 2025,"AGRONOMY ATTACHEES X2 We are looking for students on attachment to be placed in our organisation, providing an opportunity to gain practical experience relevant to their field of study."
Head Of Supply Chain,N/A,Harare,Expires 08 Aug 2025,"We are seeking a vibrant and dynamic individual to join our team. Reporting to the Chief Executive Officer, the successful applicant will, among other key duties, be responsible for effectively and efficiently sourcing goods and services whilst managing the business relationship with established suppliers to support the strategic and operational"
Receptionist,N/A,Harare,Expires 08 Sep 2025,An excellent oppoturnity for a young and vibrant professional to work in an awesome and collaboratibve environement supporting the team with top of the class client services support!
Adult Literacy Teacher - ICT,The Halo Trust,Mashonaland Central,Expires 11 Aug 2025,"The ICT Teacher will deliver foundational digital literacy training to adult learners in remote or underserved communities, focusing on practical, context-relevant ICT skills aligned with the ECDL / ICDL (International Computer Driving Licence) curriculum and HEXCO standards. The Teacher will foster digital inclusion by empowering learners with essential computer competencies"
