Job Title,Company,Location,Expiry Date,Description
Procurement and logistics officer,Plus Five Pharmaceuticals,Bulawayo,Expires 31 Aug 2025,"As a Procurement And Logistics Officer, you will be responsible for managing the procurement of raw materials, supplies, and equipment, as well as coordinating logistics and supply chain operations to ensure timely and efficient delivery of products. This is an urgent requirement, and the successful candidate will be expected to"
BURSAR,ZIMCARE TRUST,Harare,Expires 31 Aug 2025,"The Bursar is responsible for professional handling of all finances at the centre, submitting returns and preparing all books for both internal and external audit."
SENIOR NURSE AIDE (PA/Secretary) to NURSING MATRON,DOMBOSHAVA MEDCLINIC,Harare,Expires 31 Aug 2025,1. Internet essentials 2. Reception duties 3. Communication with external stakeholders 4. Hospital secretarial duties 5. Minute taking 6. Assist the Midwife as a senior nurse aide 7. Assist the dentist during clinical work. 8. AODs as directed by Matron This is not a position for chancers. Only those who
INTERNS- SALES AND MARKETING / SUPPLY CHAIN MANAGEMENT,Nash Paints,Harare,Expires 30 Aug 2025,Nash Paints is looking for Sales and Marketing/ Supply Chain Management Attachees to join their organization.
Telesales Representative - Pharmaceutical and Beauty Care Products,Plus Five Pharmaceuticals,Harare,Expires 30 Aug 2025,"As a Telesales Representative, you will be responsible for selling our range of pharmaceutical and beauty care products to our target market via telephone. You will build relationships with customers, identify new sales opportunities, and achieve sales targets."
Till Operators and Shop Assistants,Southsea Investments Pvt Ltd,Harare,Expires 30 Aug 2025,"Are you passionate about retail and looking for a rewarding career? We are a leading retail company committed to excellence, customer satisfaction, and employee growth. We are currently hiring for multiple positions across various departments. If you have the skills, experience, and enthusiasm to thrive in a fast-paced retail environment,"
Van sales representatives,Plus Five Pharmaceuticals,Harare,Expires 30 Aug 2025,"A leading distributor of pharmaceutical and beauty care products in Zimbabwe. We are seeking a skilled and experienced Van Sales Representative to join our team and drive sales growth to supermarkets, pharmacies, and shops in Harare and the surrounding provinces. As a Van Sales Representative, you will be responsible for"
Web & Graphic Designer,N/A,Harare,Expires 30 Aug 2025,"We are looking for a talented individual who not only has a strong aesthetic sense but also possesses robust technical skills in website development, specifically with WordPress and Elementor. This role is perfect for a self-motivated learner who is passionate about creating seamless and engaging digital experiences. You will be"
INTENSIVE AND CORONARY CARE NURSE X1 ZVISHAVANE,Cell Insurance Group,Zvishavane,Expires 29 Aug 2025,Description Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Intensive and Coronary Care Nurse that has arisen at Nectacare Private Limited in Zvishavane.
NURSE ANAESTHETIST X1 - ZVISHAVANE,Cell Insurance Group,Zvishavane,Expires 29 Aug 2025,Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Anaesthetist that has arisen at Nectacare Private Limited in Zvishavane.
Primary School Teacher,N/A,Bindura,Expires 29 Aug 2025,"Our school seeks a qualified and dedicated Primary School Teacher to join our academic staff for the Third term 2025. The successful candidates will be responsible for delivering high-quality instruction in all core subjects, fostering a positive and productive learning environment, and assessing student progress effectively. We are looking for"
INTENSIVE AND CORONARY CARE NURSE X1 ZVISHAVANE,Cell Insurance Group,Zvishavane,Expires 29 Aug 2025,Description Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Intensive and Coronary Care Nurse that has arisen at Nectacare Private Limited in Zvishavane.
Sales and Marketing Officer,N/A,Harare,Expires 28 Aug 2025,"We are recruiting on behalf of our client for a dynamic and results-driven Sales & Marketing Officer. This is an exciting opportunity for a mature and experienced individual who is passionate about sales and marketing, and eager to drive business growth through client acquisition, brand visibility, and market development in"
SALES REPRESENTATIVE,N/A,Harare,Expires 26 Aug 2025,"We are seeking a young, energetic, and enthusiastic Sales Representative aged between 19 and 21 years, who is quick to learn and confident in speaking to clients. The ideal candidate should possess strictly O' and A' Level qualifications and be passionate about sales, customer service, and building long-term client relationships."
Sales &Marketing Representative,Wovenstars,Harare,Expires 25 Aug 2025,"Applications are invited from suitably qualified and experienced persons to fill in the position of a Sales and Marketing Representative responsible for building and maintaining customer relationships, tracking sales data and producing performance reports."
Attach Digital Marketing Officer (Rusape),Symdunes Financial Services,Rusape,Expires 24 Aug 2025,"The Attach Digital Marketing Officer will be responsible for creating and executing digital marketing campaigns that increase brand awareness, generate leads, and convert passive audiences to active customers as well as identifying and pursuing business opportunities. The Attach Digital Marketing Officer will report to the Marketing Officer."
Sales and Marketing Attachment,N/A,Mutare,Expires 24 Aug 2025,Persons wanted for Sales and marketing attachment position in Mutare and must be 18 years and above.
Casual Driver Class 2,N/A,Harare,Expires 24 Aug 2025,Persons wanted for casual/driver and must be 18 years and above
Driver,PELUM (Participatory Ecological Land Use Management Association),Harare,Expires 23 Aug 2025,"Position:Driver Location:Harare, with frequent travel to various districts Type:Full-time, 1-year contract (renewable based on performance) Reports to:Finance and Administration Officer Organizational Background Participatory Ecological Land Use Management (PELUM) Zimbabwe is a programme of the Zimbabwe Institute of Permaculture (ZIP), structured as a network of primarily civil society organizations working to"
INVITATION TO EXPRESS INTEREST,PELUM (Participatory Ecological Land Use Management Association),Harare,Expires 22 Aug 2025,"SUBJECT: OPEN CALL FOR EXPRESSIONS OF INTEREST FOR CONSTRUCTION OF OFFICE SUPERSTRUCTURE. PELUM Zimbabwe is inviting qualified and experienced construction companies to submit Expressions of Interest (EOI) for the construction of the superstructure of its new office building, located in Mt. Hampden. Scope of Work"
Farm Production Managers X2,Green Feathers Farm Pvt Ltd,Wedza or Hwedza,Expires 22 Aug 2025,"We are a diversified agricultural business located in the heart of Wedza district, just 120 km southeast of Harare. Our main pillars of production are horticulture, cereals & tobacco, livestock and agro tourism. Are you passionate about agriculture, innovation, and making a positive impact? We are seeking talented and experienced"
Security Guards,N/A,Harare,Expires 20 Aug 2025,"We are conducting an explosive mass recruitment drive for a minimum of 100 experienced, mature, and highly disciplined proffessional Security Guards to be deployed at a strategic mining environment between Chegutu, Kwekwe Mt Darwin and Harare Regions. This is a serious, high-demand opportunity suited for professionals ready to serve with"
Finance Manager - Property Division,N/A,Harare,Expires 20 Aug 2025,FINANCE MANAGER - PROPERTY DEVELOPMENT DIVISION JOB SUMMARY Overall Management of the Finance Function for the Real Estate Division
Reservation Manager (Manor House),Traverze Travel,Harare,Expires 20 Aug 2025,"As the Reservation Manager, you will oversee all bookings and reservations at The Manor House, ensuring a seamless guest experience from inquiry to arrival. Your role is central to optimizing occupancy, maintaining guest satisfaction, and supporting front-of-house efficiency."
General Manager - Auctioneering Division,N/A,Harare,Expires 20 Aug 2025,ANONYMOUS JOB ADVERTISEMENT 1. GENERAL MANAGER - AUCTIONEERING DIVISION JOB SUMMARY Overall Management of Auction Business
Sales and Marketing Intern,High Performance Lubes,Harare,Expires 19 Aug 2025,High Performance Lubricants is inviting applications for Sales and Marketing Intern positions to actively promote our products and brand. The student will be given an opportunity to develop practical skills and gain real world experiences in the Sales and Marketing field.
Localisation Consultancy for the Zimbabwe Environmental Law Association (ZELA),Zimbabwe Environmental Law Association (ZELA),Harare,Expires 18 Aug 2025,"The Zimbabwe Environmental Law Association (ZELA) is a public interest environmental law organisation promoting environmental justice, sustainable and equitable use of natural resources, and good governance. With a rights-based approach rooted in Environmental, Economic, Social, and Cultural Rights (EESCR), ZELA works extensively with grassroots communities, including through its community monitors,"
General Hand,SOS Children's Villages Zimbabwe,Bindura,Expires 18 Aug 2025,"GENERAL HAND SOS HERMANN GMEINER SECONDARY SCHOOL BINDURA (Job Ref: HGSS/04/08/25) Position title:  General Hand Working location: SOS Hermann Gmeiner Secondary School. Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect"
