Job Title,Company,Location,Expiry Date,Description
Senior Lecturer/Associate Professor/Professor in Accounting and Finance,Africa University - AU,Mutare,Expires 08 Aug 2025,"Reporting to the HOD, the incumbent will serve as an Accounting and Finance Lecturer and will be teaching and conducting solution-oriented research that will lead to policy change, commercialisation, and industrialisation in line with the Education 5.0."
DISPATCH TANK OPERATOR X 1,Green Fuel,Chipinge,Expires 08 Aug 2025,Dispatch Tank Operator takes ethanol storage tanks stock daily and loads the road tankers with ordered ethanol volumes according to the marketing requirements.
Vice Chancellor's Personal Assistant,Africa University - AU,Mutare,Expires 08 Aug 2025,"VICE CHANCELLOR'S PERSONAL ASSISTANT Reporting to the Vice Chancellor, the Personal Assistant provides high-level administrative and operational support to the Vice-Chancellor whose activities are multi-dimensional, extremely complex and externally visible, and are paramount to the success, reputation and integrity of the University."
SALES AND MARKETING GRADUATE TRAINEE,TOTAL NETWORKS,Bulawayo,Expires 08 Aug 2025,Train under experienced manager to:  Effectively sell the company's products and/or related services.  securing orders from existing and prospective customers through a relationship-based approach.  Explain products and services to existing/potential customers and assists them in selecting those best suited to their needs.
Class 3 and 4 Driver,Midlands State University MSU,Gweru,Expires 08 Aug 2025,Applications are invited from suitably qualified and experienced persons for the following post: NATIONAL PATHOLOGY RESEARCH AND DIAGNOSTIC CENTRE Post A: CLASS 3 AND 4 DRIVER (1 Post)
Head Of Supply Chain,N/A,Harare,Expires 08 Aug 2025,"We are seeking a vibrant and dynamic individual to join our team. Reporting to the Chief Executive Officer, the successful applicant will, among other key duties, be responsible for effectively and efficiently sourcing goods and services whilst managing the business relationship with established suppliers to support the strategic and operational"
COMPLIANCE OFFICER,EmpowerBank Limited,Harare,Expires 08 Aug 2025,An exciting opportunity for a Compliance Officer has arisen within our Compliance department. Suitable and qualified candidates are encouraged to apply. The successful candidate shall be responsible for ensuring that all bank operations conform with governing laws and regulations.
Night Nursing Manager,The Avenues Clinic,Harare,Expires 08 Aug 2025,"We are hiring NIGHT NURSING MANAGER We are seeking a qualified and experienced Night Nursing Manager to oversee hospital operations, ensure quality patient care, and manage clinical and nursing teams during night shifts."
Charge Sister,The Avenues Clinic,Harare,Expires 08 Aug 2025,We are hiring We are seeking an experienced Registered General Nurse with a post-basic specialty qualification to lead clinical and operational activities in our wards.
ADVISOR- PROGRAM QUALITY LEARNING AND ACCOUNTABILITY,ActionAid Zimbabwe,Harare,Expires 08 Aug 2025,LOCATION : HARARE
ADVISOR- PROGRAM QUALITY LEARNING AND ACCOUNTABILITY,ActionAid Zimbabwe,Harare,Expires 08 Aug 2025,LOCATION : HARARE
Trainee Section Manager (6),Hippo Valley,Harare,Expires 08 Aug 2025,"Job Title: Trainee Section Manager (6) Job Level: Cl Operations/ Location: Hippo Valley Estates (3) / Triangle Limited (3) Reports To: Section Manager Purpose of Role: 24 months contract where incumbent is trained formally and, on the job, to manage a section."
Supply Chain Attachee,Fidelity Life Assurance,Harare,Expires 08 Aug 2025,We are inviting applications for a student attachment opportunity in our Supply Chain department. This role is ideal for students currently pursuing a degree in Supply Chain Management or a related field. The successful candidate will gain hands-on experience and practical exposure in a dynamic work environment.
Apprenticeship Intake 2026,Hippo Valley,Chiredzi,Expires 08 Aug 2025,"APPRENTICESHIP INTAKE 2026 Tongaat Hulett is an agricultural and agri-processing business which includes integrated components of land management and property development. Through its sugar operations, Tongaat Hulett emphasizes on renewable energy, with biofuel production and electricity generation becoming increasingly important to the business. The current focus is on leveraging the"
Graduate Trainees - Sales,Panmart,Manicaland,Expires 08 Aug 2025,"Are you a recent graduate ready to kickstart your career in sales? We are looking for dynamic, self-motivated, and ambitious individuals to join our Graduate Trainee Program in Sales"
FINANCE INTERN,Adult RApe Clinic,Harare,Expires 08 Aug 2025,Applications are invited from candidates for internship as a Finance Intern. The Adult Rape Clinic (ARC) is a Registered Non-Governmental Organization that offers medical and psychosocial support care to survivors of sexual gender-based violence (SGBV). ARC is looking for a Finance Intern to be based in Harare. ARC's employment policy
IT Student On Attachment Wanted,WebZim,Harare,Expires 08 Aug 2025,Webzim is looking for an IT Student on Attachment. The ideal candidate must be studying towards a degree in IT or related degree. Location: Harare.
Agronomy Attachees x 2,N/A,Harare,Expires 08 Aug 2025,"AGRONOMY ATTACHEES X2 We are looking for students on attachment to be placed in our organisation, providing an opportunity to gain practical experience relevant to their field of study."
Communications Intern,Adult RApe Clinic,Harare,Expires 08 Aug 2025,Applications are invited from candidates for internship as a Communications Intern. The Adult Rape Clinic (ARC) is a Registered Non-Governmental Organization that offers medical and psychosocial support care to survivors of sexual gender-based violence (SGBV). ARC is looking for a Communications Intern to be based in Harare. ARC's employment policy
COMPLIANCE OFFICER,EmpowerBank Limited,Harare,Expires 08 Aug 2025,An exciting opportunity for a Compliance Officer has arisen within our Compliance department. Suitable and qualified candidates are encouraged to apply. The successful candidate shall be responsible for ensuring that all bank operations conform with governing laws and regulations.
